method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha
oracle_split,mixed,0.9966666666666667,181.21588212216847,512.5000256282993,0.7724166666666666,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
confidence_exit,mixed,0.98575,19.740223476083333,19.199,0.00016666666666666666,0.00016666666666666666,0.009820568,0.9998333333333334,0.00016666666666666666,0.0,0.014169028171361894,0.00016666666666666666,0.0,0.0,0.0,0.0,mnist,13,0.1
branchynet,mixed,0.97775,19.227354875000007,19.199,0.0,0.0,0.009614176249999997,1.0,0.0,0.0,0.02225,0.0,0.0,0.0,0.0,0.0,mnist,13,0.1
deadline_greedy,mixed,0.9966666666666667,181.21588212216847,512.5000256282993,0.7724166666666666,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
aodpart,mixed,0.98575,19.650131366666674,19.199,0.0,0.0,0.009825549,0.9998333333333334,0.0,0.00016666666666666666,0.014169028171361894,0.0,0.0,0.0,0.0,0.00016666666666666666,mnist,13,0.1
conformal_exit,mixed,0.9951666666666666,28.218272054761226,64.5499,0.0385,0.049416666666666664,0.009790058583333332,0.9505833333333333,0.049416666666666664,0.0,0.0021039712457263083,0.049416666666666664,0.0,0.0,0.0,0.0,mnist,13,0.1
crc_exit,mixed,0.9946666666666667,22.925138064495822,41.8829,0.005916666666666666,0.008,0.010597904166666667,0.992,0.008,0.0,0.003276209677419355,0.008,0.0,0.0,0.0,0.0,mnist,13,0.1
coda_sc,mixed,0.9951666666666666,22.533006941666677,60.7726,0.0,0.0,0.011266925083333334,0.9505833333333333,0.0,0.049416666666666664,0.0021039712457263083,0.0,0.0,0.0,0.0,0.049416666666666664,mnist,13,0.1
coda_risk,mixed,0.9946666666666667,21.673145350000006,41.8829,0.0,0.0,0.010836992166666667,0.992,0.0,0.008,0.003276209677419355,0.0,0.0,0.0,0.0,0.008,mnist,13,0.1
local_only,wifi,0.99625,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1
cloud_only,wifi,0.99625,40.80478564314208,78.48337019842036,0.08033333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
static_split,wifi,0.99625,40.80478564314208,78.48337019842036,0.08033333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
oracle_split,wifi,0.99625,40.80478564314208,78.48337019842036,0.08033333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
confidence_exit,wifi,0.9866666666666667,19.59698437335345,19.199,0.0,0.0003333333333333333,0.009794482083333332,0.9996666666666667,0.0003333333333333333,0.0,0.013337779259753251,0.0003333333333333333,0.0,0.0,0.0,0.0,mnist,29,0.1
branchynet,wifi,0.978,19.199000000000005,19.199,0.0,0.0,0.0096,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,mnist,29,0.1
deadline_greedy,wifi,0.99625,40.80478564314208,78.48337019842036,0.08033333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
aodpart,wifi,0.9866666666666667,19.59698437335345,19.199,0.0,0.0003333333333333333,0.009794482083333332,0.9996666666666667,0.0003333333333333333,0.0,0.013337779259753251,0.0003333333333333333,0.0,0.0,0.0,0.0,mnist,29,0.1
conformal_exit,wifi,0.9951666666666666,21.574987652924474,41.8829,0.0045,0.05466666666666667,0.009707323083333332,0.9453333333333334,0.05466666666666667,0.0,0.0019393511988716502,0.05466666666666667,0.0,0.0,0.0,0.0,mnist,29,0.1
crc_exit,wifi,0.9949166666666667,21.410230685536373,41.8829,0.0006666666666666666,0.007416666666666667,0.010557847333333332,0.9925833333333334,0.007416666666666667,0.0,0.00310637226093527,0.007416666666666667,0.0,0.0,0.0,0.0,mnist,29,0.1
coda_sc,wifi,0.9951666666666666,21.574987652924474,41.8829,0.0045,0.05466666666666667,0.009707323083333332,0.9453333333333334,0.05466666666666667,0.0,0.0019393511988716502,0.05466666666666667,0.0,0.0,0.0,0.0,mnist,29,0.1
